1.0000     0.2800     -0.89276
1.1000     0.2800     -1.01015
1.2000     0.2800     -1.08101
1.3000     0.2800     -1.12238
1.4000     0.2800     -1.14541
1.5000     0.2800     -1.15723
1.6000     0.2800     -1.16238
1.7000     0.2800     -1.16374
1.8000     0.2800     -1.16307
1.9000     0.2800     -1.16143
2.0000     0.2800     -1.15943
2.1000     0.2800     -1.15739
2.2000     0.2800     -1.15548
2.3000     0.2800     -1.15379
2.4000     0.2800     -1.15235
2.5000     0.2800     -1.15117
2.6000     0.2800     -1.15022
2.7000     0.2800     -1.14947
2.8000     0.2800     -1.14888
1.0000     0.3100     -0.93445
1.1000     0.3100     -1.04541
1.2000     0.3100     -1.11260
1.3000     0.3100     -1.15182
1.4000     0.3100     -1.17353
1.5000     0.3100     -1.18447
1.6000     0.3100     -1.18900
1.7000     0.3100     -1.18989
1.8000     0.3100     -1.18884
1.9000     0.3100     -1.18690
2.0000     0.3100     -1.18465
2.1000     0.3100     -1.18241
2.2000     0.3100     -1.18034
2.3000     0.3100     -1.17853
2.4000     0.3100     -1.17700
2.5000     0.3100     -1.17575
2.6000     0.3100     -1.17474
2.7000     0.3100     -1.17395
2.8000     0.3100     -1.17333
1.0000     0.3400     -0.96668
1.1000     0.3400     -1.07088
1.2000     0.3400     -1.13401
1.3000     0.3400     -1.17073
1.4000     0.3400     -1.19083
1.5000     0.3400     -1.20068
1.6000     0.3400     -1.20443
1.7000     0.3400     -1.20473
1.8000     0.3400     -1.20324
1.9000     0.3400     -1.20094
2.0000     0.3400     -1.19840
2.1000     0.3400     -1.19593
2.2000     0.3400     -1.19369
2.3000     0.3400     -1.19174
2.4000     0.3400     -1.19011
2.5000     0.3400     -1.18877
2.6000     0.3400     -1.18771
2.7000     0.3400     -1.18686
2.8000     0.3400     -1.18620
1.0000     0.3700     -0.99257
1.1000     0.3700     -1.08988
1.2000     0.3700     -1.14871
1.3000     0.3700     -1.18269
1.4000     0.3700     -1.20095
1.5000     0.3700     -1.20953
1.6000     0.3700     -1.21236
1.7000     0.3700     -1.21197
1.8000     0.3700     -1.20995
1.9000     0.3700     -1.20724
2.0000     0.3700     -1.20438
2.1000     0.3700     -1.20167
2.2000     0.3700     -1.19923
2.3000     0.3700     -1.19713
2.4000     0.3700     -1.19538
2.5000     0.3700     -1.19396
2.6000     0.3700     -1.19282
2.7000     0.3700     -1.19192
2.8000     0.3700     -1.19121
1.0000     0.4000     -1.01402
1.1000     0.4000     -1.10449
1.2000     0.4000     -1.15894
1.3000     0.4000     -1.19001
1.4000     0.4000     -1.20628
1.5000     0.4000     -1.21345
1.6000     0.4000     -1.21524
1.7000     0.4000     -1.21407
1.8000     0.4000     -1.21146
1.9000     0.4000     -1.20829
2.0000     0.4000     -1.20507
2.1000     0.4000     -1.20208
2.2000     0.4000     -1.19943
2.3000     0.4000     -1.19717
2.4000     0.4000     -1.19529
2.5000     0.4000     -1.19377
2.6000     0.4000     -1.19255
2.7000     0.4000     -1.19159
2.8000     0.4000     -1.19083
1.0000     0.4300     -1.03225
1.1000     0.4300     -1.11604
1.2000     0.4300     -1.16611
1.3000     0.4300     -1.19422
1.4000     0.4300     -1.20841
1.5000     0.4300     -1.21406
1.6000     0.4300     -1.21473
1.7000     0.4300     -1.21271
1.8000     0.4300     -1.20943
1.9000     0.4300     -1.20576
2.0000     0.4300     -1.20215
2.1000     0.4300     -1.19886
2.2000     0.4300     -1.19598
2.3000     0.4300     -1.19354
2.4000     0.4300     -1.19153
2.5000     0.4300     -1.18990
2.6000     0.4300     -1.18860
2.7000     0.4300     -1.18757
2.8000     0.4300     -1.18675
1.0000     0.4600     -1.04801
1.1000     0.4600     -1.12538
1.2000     0.4600     -1.17116
1.3000     0.4600     -1.19632
1.4000     0.4600     -1.20841
1.5000     0.4600     -1.21250
1.6000     0.4600     -1.21198
1.7000     0.4600     -1.20904
1.8000     0.4600     -1.20506
1.9000     0.4600     -1.20083
2.0000     0.4600     -1.19680
2.1000     0.4600     -1.19318
2.2000     0.4600     -1.19005
2.3000     0.4600     -1.18742
2.4000     0.4600     -1.18526
2.5000     0.4600     -1.18352
2.6000     0.4600     -1.18213
2.7000     0.4600     -1.18102
2.8000     0.4600     -1.18015
